timestep,node_idx,tier,power,is_bankrupt,stock,cash,order_from,buy_amount,receive_amount,purchase_value,sale_value,cash_from,pay_amount,unfilled,issued,b_loan,receivable,payable,debt
1,0,0,-1,False,9.223372036854776e+18,-5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,False,0.0,295.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,1,False,0.0,295.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,1,False,0.0,295.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,4,2,1,False,0.0,245.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,5,2,1,False,0.0,245.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,6,2,1,False,0.0,245.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,7,3,1,False,0.0,195.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,8,3,1,False,0.0,195.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,9,3,1,False,0.0,195.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,10,4,1,False,0.0,145.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,11,4,1,False,0.0,145.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,12,4,1,False,0.0,145.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,13,5,1,False,0.0,95.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,14,5,1,False,0.0,95.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,15,5,1,False,0.0,95.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,16,6,1,False,0.0,45.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,17,6,1,False,0.0,45.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1,18,6,1,False,0.0,45.0,19.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
1,19,7,-1,False,0.0,9.223372036854776e+18,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,-1,False,9.223372036854776e+18,-10.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,False,0.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,1,False,0.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1,1,False,0.0,290.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,4,2,1,False,0.0,240.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,5,2,1,False,0.0,240.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,6,2,1,False,0.0,240.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,7,3,1,False,0.0,190.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,8,3,1,False,0.0,190.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,9,3,1,False,0.0,190.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,10,4,1,False,0.0,140.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,11,4,1,False,0.0,140.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,12,4,1,False,0.0,140.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,13,5,1,False,0.0,90.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,14,5,1,False,0.0,90.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,15,5,1,False,0.0,90.0,18.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,16,6,1,False,0.0,40.0,19.0,8.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
2,17,6,1,False,0.0,40.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2,18,6,1,False,0.0,40.0,,,,0.0,,,,9.0,0.0,0.0,0.0,0.0,0.0
2,19,7,-1,False,0.0,9.223372036854776e+18,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,-1,False,9.223372036854776e+18,-15.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,False,0.0,285.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,1,False,0.0,285.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1,1,False,0.0,285.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,4,2,1,False,0.0,235.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,5,2,1,False,0.0,235.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,6,2,1,False,0.0,235.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,7,3,1,False,0.0,185.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,8,3,1,False,0.0,185.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,9,3,1,False,0.0,185.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,10,4,1,False,0.0,135.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,11,4,1,False,0.0,135.0,15.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,12,4,1,False,0.0,135.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,13,5,1,False,0.0,85.0,16.0,8.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,14,5,1,False,0.0,85.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,15,5,1,False,0.0,85.0,,,,0.0,,,,9.0,0.0,0.0,0.0,0.0,0.0
3,16,6,1,False,0.0,35.0,19.0,4.0,0.0,0.0,0.0,,,8.0,0.0,0.0,0.0,0.0,0.0
3,17,6,1,False,0.0,35.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
3,18,6,1,False,0.0,35.0,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0
3,19,7,-1,False,0.0,9.223372036854776e+18,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,-1,False,9.223372036854776e+18,-20.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,1,False,0.0,280.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,1,False,0.0,280.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,3,1,1,False,0.0,280.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2,1,False,0.0,230.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,5,2,1,False,0.0,230.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,6,2,1,False,0.0,230.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,7,3,1,False,0.0,180.0,11.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
4,8,3,1,False,0.0,180.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,9,3,1,False,0.0,180.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,1,False,0.0,130.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,11,4,1,False,0.0,130.0,13.0,8.0,0.0,0.0,0.0,,,9.0,0.0,0.0,0.0,0.0,0.0
4,12,4,1,False,0.0,130.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,13,5,1,False,0.0,80.0,,,,0.0,,,,8.0,0.0,0.0,0.0,0.0,0.0
4,14,5,1,False,0.0,80.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,15,5,1,False,0.0,80.0,16.0,12.0,0.0,,0.0,,,9.0,0.0,0.0,0.0,0.0,0.0
4,16,6,1,False,0.0,30.0,19.0,4.0,0.0,0.0,0.0,,,12.0,0.0,0.0,0.0,0.0,0.0
4,17,6,1,False,0.0,30.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
4,18,6,1,False,0.0,30.0,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0
4,19,7,-1,False,0.0,9.223372036854776e+18,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,-1,False,9.223372036854776e+18,-25.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,1,False,0.0,275.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1,1,False,0.0,275.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,3,1,1,False,0.0,275.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,4,2,1,False,0.0,225.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2,1,False,0.0,225.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,6,2,1,False,0.0,225.0,7.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
5,7,3,1,False,0.0,175.0,,,,0.0,,,,9.0,0.0,0.0,0.0,0.0,0.0
5,8,3,1,False,0.0,175.0,11.0,17.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
5,9,3,1,False,0.0,175.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,10,4,1,False,0.0,125.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,11,4,1,False,0.0,125.0,15.0,21.0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,0.0,0.0
5,12,4,1,False,0.0,125.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,13,5,1,False,0.0,75.0,,,,,,,,8.0,0.0,0.0,0.0,0.0,0.0
5,14,5,1,False,0.0,75.0,16.0,16.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
5,15,5,1,False,0.0,75.0,,,,0.0,,,,21.0,0.0,0.0,0.0,0.0,0.0
5,16,6,1,False,0.0,25.0,,,,0.0,,,,16.0,0.0,0.0,0.0,0.0,0.0
5,17,6,1,False,0.0,25.0,19.0,13.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
5,18,6,1,False,0.0,25.0,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0
5,19,7,-1,False,0.0,9.223372036854776e+18,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,-1,False,9.223372036854776e+18,-30.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,1,False,0.0,270.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,2,1,1,False,0.0,270.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,3,1,1,False,0.0,270.0,6.0,9.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
6,4,2,1,False,0.0,220.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,5,2,1,False,0.0,220.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2,1,False,0.0,220.0,8.0,17.0,0.0,0.0,0.0,,,9.0,0.0,0.0,0.0,0.0,0.0
6,7,3,1,False,0.0,170.0,,,,,,,,9.0,0.0,0.0,0.0,0.0,0.0
6,8,3,1,False,0.0,170.0,11.0,38.0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,0.0,0.0
6,9,3,1,False,0.0,170.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,10,4,1,False,0.0,120.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,11,4,1,False,0.0,120.0,14.0,16.0,0.0,0.0,0.0,,,38.0,0.0,0.0,0.0,0.0,0.0
6,12,4,1,False,0.0,120.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
6,13,5,1,False,0.0,70.0,17.0,13.0,0.0,,0.0,,,8.0,0.0,0.0,0.0,0.0,0.0
